Bundle,Frequency,Relative Frequency,DOCF,Rel DOCF,Structure,Function,Sub-Corpus,Part of Question,Total Tokens,Total Files
I agree with this,103,2125.07,100,16.67,VP,SE,J-SM,Yes,"48,469",600
agree with this statement,68,1402.96,66,11,VP,SE,J-SM,Yes,"48,469",600
I agree with the,62,1279.17,59,9.83,VP,SE,J-SM,Yes,"48,469",600
have a part-time job,52,1072.85,42,7,VP,RF,J-SM,Yes,"48,469",600
I think it is,47,969.69,40,6.67,VP,SE,J-SM,No,"48,469",600
I disagree with this,46,949.06,43,7.17,VP,SE,J-SM,Yes,"48,469",600
with this statement because,45,928.43,45,7.5,DC,DO,J-SM,Yes,"48,469",600
agree with the statement,40,825.27,38,6.33,VP,SE,J-SM,Yes,"48,469",600
is not good for,34,701.48,27,4.5,VP,SE,J-SM,No,"48,469",600
I do n't agree,33,680.85,30,5,VP,SE,J-SM,No,"48,469",600
it is important for,33,680.85,29,4.83,VP,SE,J-SM,Yes,"48,469",600
I do n't like,31,639.58,23,3.83,VP,SE,J-SM,No,"48,469",600
smoking is bad for,31,639.58,29,4.83,VP,SE,J-SM,No,"48,469",600
I have two reasons,29,598.32,29,4.83,VP,DO,J-SM,No,"48,469",600
disagree with this statement,28,577.69,26,4.33,VP,SE,J-SM,Yes,"48,469",600
agree with this opinion,26,536.43,24,4,VP,SE,J-SM,No,"48,469",600
I agree this statement,26,536.43,24,4,VP,SE,J-SM,Yes,"48,469",600
do n't like smoking,25,515.79,21,3.5,VP,SE,J-SM,No,"48,469",600
should be completely banned,25,515.79,18,3,VP,SE,J-SM,Yes,"48,469",600
do n't agree with,24,495.16,22,3.67,VP,SE,J-SM,No,"48,469",600
is important for college,24,495.16,22,3.67,VP,SE,J-SM,Yes,"48,469",600
for college students to,23,474.53,20,3.33,NP/PP,RF,J-SM,Yes,"48,469",600
to have a part-time,23,474.53,21,3.5,DC,RF,J-SM,Yes,"48,469",600
do n't want to,22,453.9,18,3,VP,SE,J-SM,No,"48,469",600
important for college students,22,453.9,19,3.17,NP/PP,SE,J-SM,Yes,"48,469",600
to do part-time job,22,453.9,20,3.33,VP,RF,J-SM,No,"48,469",600
people who do n't,21,433.27,17,2.83,DC,RF,J-SM,No,"48,469",600
smoking should be completely,21,433.27,16,2.67,VP,SE,J-SM,Yes,"48,469",600
with the statement because,21,433.27,21,3.5,DC,DO,J-SM,No,"48,469",600
a part time job,20,412.63,17,2.83,NP/PP,RF,J-SM,Yes,"48,469",600
