bundle,frequency,relative_frequency,DOCF,rel_DOCF,structure,function,sub_corpus,prompt_based_bundle
I agree with this,103,2125.07,100,16.67,VP,SE,J-SM,prompt_based_bundle
agree with this statement,68,1402.96,66,11,VP,SE,J-SM,prompt_based_bundle
I agree with the,62,1279.17,59,9.83,VP,SE,J-SM,prompt_based_bundle
have a part-time job,52,1072.85,42,7,VP,RF,J-SM,prompt_based_bundle
I think it is,47,969.69,40,6.67,VP,SE,J-SM,non_prompt_based_bundle
I disagree with this,46,949.06,43,7.17,VP,SE,J-SM,prompt_based_bundle
with this statement because,45,928.43,45,7.5,DC,DO,J-SM,prompt_based_bundle
agree with the statement,40,825.27,38,6.33,VP,SE,J-SM,prompt_based_bundle
is not good for,34,701.48,27,4.5,VP,SE,J-SM,non_prompt_based_bundle
I do n't agree,33,680.85,30,5,VP,SE,J-SM,non_prompt_based_bundle
it is important for,33,680.85,29,4.83,VP,SE,J-SM,prompt_based_bundle
I do n't like,31,639.58,23,3.83,VP,SE,J-SM,non_prompt_based_bundle
smoking is bad for,31,639.58,29,4.83,VP,SE,J-SM,non_prompt_based_bundle
I have two reasons,29,598.32,29,4.83,VP,DO,J-SM,non_prompt_based_bundle
disagree with this statement,28,577.69,26,4.33,VP,SE,J-SM,prompt_based_bundle
agree with this opinion,26,536.43,24,4,VP,SE,J-SM,non_prompt_based_bundle
I agree this statement,26,536.43,24,4,VP,SE,J-SM,prompt_based_bundle
do n't like smoking,25,515.79,21,3.5,VP,SE,J-SM,non_prompt_based_bundle
should be completely banned,25,515.79,18,3,VP,SE,J-SM,prompt_based_bundle
do n't agree with,24,495.16,22,3.67,VP,SE,J-SM,non_prompt_based_bundle
is important for college,24,495.16,22,3.67,VP,SE,J-SM,prompt_based_bundle
for college students to,23,474.53,20,3.33,NP/PP,RF,J-SM,prompt_based_bundle
to have a part-time,23,474.53,21,3.5,DC,RF,J-SM,prompt_based_bundle
do n't want to,22,453.9,18,3,VP,SE,J-SM,non_prompt_based_bundle
important for college students,22,453.9,19,3.17,NP/PP,SE,J-SM,prompt_based_bundle
to do part-time job,22,453.9,20,3.33,VP,RF,J-SM,non_prompt_based_bundle
people who do n't,21,433.27,17,2.83,DC,RF,J-SM,non_prompt_based_bundle
smoking should be completely,21,433.27,16,2.67,VP,SE,J-SM,prompt_based_bundle
with the statement because,21,433.27,21,3.5,DC,DO,J-SM,non_prompt_based_bundle
a part time job,20,412.63,17,2.83,NP/PP,RF,J-SM,prompt_based_bundle
I think we should,20,412.63,16,2.67,VP,SE,J-SM,non_prompt_based_bundle
think it is important,20,412.63,19,3.17,VP,SE,J-SM,prompt_based_bundle
I do n't want,19,392,13,2.17,VP,SE,J-SM,non_prompt_based_bundle
I think smoking is,19,392,16,2.67,VP,SE,J-SM,non_prompt_based_bundle
it is important to,19,392,18,3,VP,SE,J-SM,prompt_based_bundle
smoking is not good,19,392,18,3,VP,SE,J-SM,non_prompt_based_bundle
a lot of money,18,371.37,17,2.83,NP/PP,RF,J-SM,non_prompt_based_bundle
be completely banned at,18,371.37,14,2.33,VP,SE,J-SM,prompt_based_bundle
completely banned at all,18,371.37,14,2.33,VP,SE,J-SM,prompt_based_bundle
do a part-time job,18,371.37,15,2.5,VP,RF,J-SM,prompt_based_bundle
I do n't think,18,371.37,14,2.33,VP,SE,J-SM,non_prompt_based_bundle
this statement because I,18,371.37,18,3,DC,DO,J-SM,non_prompt_based_bundle
agree with the idea,17,350.74,16,2.67,VP,SE,J-SM,non_prompt_based_bundle
I agree this opinion,17,350.74,16,2.67,VP,SE,J-SM,non_prompt_based_bundle
with this opinion because,17,350.74,17,2.83,DC,DO,J-SM,non_prompt_based_bundle
